Datetime,Text,Username,Tweet Id,compound,neg,neu,pos,compound-sentiment,sentiment
2021-12-04 13:10:12+00:00,Everyone deserves clean air 🌎 #cleanair #AirPollution #uconn https://t.co/KHYZDmGgwB,SafesideT,1467119043006111753,0.4019,0.0,0.787,0.213,pos,neu
2021-09-08 02:41:00+00:00,Booming Utah’s Weak Link: Surging #AirPollution https://t.co/s8F9ulvaa7,ClimateKelly,1435432957397946374,-0.4404,0.326,0.674,0.0,neg,neu
2021-09-07 17:08:31+00:00,Blue sky thinking: 5 things to know about air pollution https://t.co/cHGz3986b8 #AirPollution #climatechange #Sustainability,chefmthompson,1435288886821982212,0.0,0.0,1.0,0.0,neu,neu
2020-12-16 20:11:13+00:00,"#AirPollution a cause of UK girl's death, finds global landmark ruling

https://t.co/UkirsudyBs",ClimateKelly,1339302080104837120,-0.5574,0.257,0.658,0.086,neg,neu
2020-12-10 13:10:02+00:00,"Not a good omen for next #Ozone season...
#Airpollution roars back in parts of UK, raising Covid fears https://t.co/eBletjr76x",ClimateKelly,1337021759346909191,-0.6377,0.234,0.766,0.0,neg,neu
2019-03-21 12:34:01+00:00,Day 5 of Learning new stuff at the @TempleFamilyMed @templemedschool #FamilyMedicineReview... #airpollution &amp; #heartdisease are linked?! 🤭 #AllostaticLoad,MargotSavoy,1108708338441830401,0.5411,0.0,0.857,0.143,pos,neu
2019-03-15 17:20:09+00:00,"UN report: #AirPollution &amp; #WaterPollution will contribute to millions of deaths “in Asia, middle-east and Africa..if..nations fail to drastically scale up environmental protection measures..[W]ater pollution alone will become the number one cause of death in the world by 2050.” https://t.co/wg2XwsWY2G",VictoriaBaldas2,1106606019260624901,-0.8442,0.201,0.771,0.028,neg,neu
2019-03-05 22:30:37+00:00,Top #Texas ⁦@EPA⁩ #ScienceAdviser #MichaelHoneycott Has History Of Questioning Pollution Research &amp; claiming #AirPollution is BENEFICIAL 😳😳😳‼️ Is he an idiot?  https://t.co/kwog9zagCt,JoelRMelamedMD,1103060272057667586,0.186,0.13,0.72,0.15,pos,neu
2019-03-05 17:36:30+00:00,"Many of these cities attract western tourists. Since we’ve established we don’t care about our own, can we clean up this mess for foreigners atleast? The international community can urge @BJP4India @JPNadda and Indians can enjoy the positive externality? #AirPollution https://t.co/hjWzBcoHlh",ananth_aparna,1102986254461947905,0.9195,0.047,0.66,0.293,pos,neu
2019-03-05 13:49:02+00:00,Proud as always to be an advisor to @climatefinlab &amp; support its mandate. This time doubly thrilled that our @IFC_org #BreatheBetterBond has been selected. #AirPollution kills &amp; causes huge economic loss - BBB will help cities address that with #climate co-benefits. #IFCclimate https://t.co/mHYbPHQWVA,VWidge,1102929013108924416,0.7845,0.105,0.649,0.247,pos,neu
2019-02-16 12:46:17+00:00,Study suggests #children w specific genetic allele may be more susceptible to neurobehavioral problems when exposed to traffic #airpollution https://t.co/q1lo1OkM2r,Francine_Locke,1096752627164082179,-0.4588,0.182,0.818,0.0,neg,neu
2019-02-12 20:21:36+00:00,"And, why is O2O2 Facewear different?  It doesn't need to touch the face this means better air for life.  It means you can smile at your friends again.  😄
#airpollution #protection #gadgets #mask #newtech #cleanair #gooddesign  #cleanairnow #health #humandesign #designthinking https://t.co/FRf4Q1qvAM",AoFacewear,1095417659913654272,0.9186,0.0,0.741,0.259,pos,neu
2019-02-08 19:00:07+00:00,"Yup, #Airpollution is bad! This is why I do not understand @EPA @EPAAWheeler insist on increasing it! https://t.co/G9dQQboulV",KaminskiMed,1093947603652362248,-0.6229,0.194,0.806,0.0,neg,neu
2019-02-01 18:38:24+00:00,".
--City Life_Urban-Animals-- @florzabalanyc
.
.
.
.
.
.
.#city #citylife #ny #airpollution #pollution #contaminacion #photo #photos #pic #pics #socialenvy #picture #pictures #snapshot… https://t.co/fsbLFqIVwi",EdouarGuillermo,1091405421942923265,0.0,0.0,1.0,0.0,neu,neu
2019-02-01 18:38:04+00:00,".
--City Life_Urban-Animals-- @florzabalanyc
.
.
.
.
.
.
.#city #citylife #ny #airpollution #pollution #contaminacion #photo #photos #pic #pics #socialenvy #picture #pictures #snapshot… https://t.co/9uioqFGzbt",EdouarGuillermo,1091405336228122629,0.0,0.0,1.0,0.0,neu,neu
2019-02-01 13:58:35+00:00,"RealTalk: Air Pollution Is Deadlier Than War☠️
*200,000 US citizens died prematurely from #AirPollution last year
*47, 424 combat deaths in Vietnam War
*3,836 soldiers died in the Iraq War
*1,833 combat deaths to date from the War in Afghanistan

Isn’t it time to save all lives? https://t.co/yI0WJ0vqlr",EJinAction,1091335004678963200,-0.9761,0.379,0.577,0.044,neg,neu
2019-01-24 23:40:02+00:00,.@CleanAirMoms is in Pittsburgh tonight for a meet and greet with newly sworn in @RepSummerLee to talk #climatechange and #airpollution. #MomsApprove #ActOnClimate ❤️ https://t.co/u1sYHZDv4i,CleanAirMoms_PA,1088582226567200769,0.3182,0.0,0.913,0.087,pos,neu
2019-01-18 18:42:59+00:00,@kashthefuturist @TopCyberNews @Jackthelad1947 @seth_leitman @arikring @HansLak @Adamsfrt11 @autrement_votre @SDGaction @TradomGlobal @JolaBurnett @helene_wpli @RobertoValentUN @SDG2030 @MikeHudema @gvalan Great — if we can’t solve the #AirPollution Problem we will soon all be walking around looking like a bunch of stormtroopers! https://t.co/uRQhM9JS5D,AdamRogers2030,1086333146638008320,0.7177,0.058,0.754,0.187,pos,neu
2019-01-15 15:06:45+00:00,You know #ElectricVehicles hit the tipping point when you see a @Tesla parked next to your lab building &amp; you know the owner. Oh &amp; how I wish there were chargers connected to solar panel on this sunny day #SolarizeNewHaven #ClimateAction #airpollution https://t.co/MpCf1qKE8K,KaminskiMed,1085191564937162752,0.714,0.0,0.873,0.127,pos,neu
2019-01-11 01:27:58+00:00,More on #Airpollution - it is a novel &amp; modifiable environmental risk factor for ARDS. @EPAAWheeler @EPA TIME TO PROTECT THE AMERICAN PEOPLE - STOP ENVIRONMENTAL DEREGULATION! And @Surgeon_General time fir you to be America’s physician again - say something! @LungAssociation https://t.co/uiQzj3IQso,KaminskiMed,1083535960715988998,0.2924,0.102,0.772,0.126,pos,neu
2018-12-18 05:16:06+00:00,#freshair meanwhile in Jersey   #newtoy #airpollution https://t.co/HHy8pXi4JJ,sajeelkhanna,1074896060877824000,0.0,0.0,1.0,0.0,neu,neu
2018-12-08 19:06:55+00:00,"@maydaymindy9 For once, I'm glad I'm not in Philly today. #AirPollution",GrayShadowTech,1071481267349282816,0.4588,0.0,0.769,0.231,pos,neu
2018-11-30 22:03:42+00:00,"Say hello to the planting pot of the future!  Excellent progress, @projectres 's @co2apt !
 - @Ps28jc @jnaatus @MALISSA17 
#JerseyCity #moretrees #airfiltration #airpollution https://t.co/kwAJTVLfV4",odonnellPS28,1068626651574091777,0.7955,0.0,0.756,0.244,pos,neu
2018-11-25 22:26:24+00:00,This futuristic concrete sucks #pollution out of the air! #airpollution #airquality #smartcities https://t.co/gTWkdsgEIZ,EvanKirstel,1066820424695193601,-0.4199,0.189,0.811,0.0,neg,neu
2018-11-15 12:25:55+00:00,"Diesel pollution stunts children’s lung growth, London study shows @TheLancet #AirPollution https://t.co/bDPj7j9Olj",Francine_Locke,1063045427493306368,0.3818,0.0,0.809,0.191,pos,neu
2018-10-31 19:05:05+00:00,"Happy #WorldCitiesDay
The occurrence of free radicals in the human body is caused by many factors, such as #AirPollution, lifestyle, stress etc. #Astaxanthin is a great choice in free radical neutralization and reduction. #WednesdayWisdom https://t.co/DpqeIzzeZo",iconthin,1057710065887657984,0.9118,0.059,0.636,0.305,pos,neu
2018-10-31 10:10:22+00:00,"Based on below, everyone is a smoker in the world - in my clinical practice I see a rise in vague upper respiratory symptoms of reactive airway to “allergy” conditions — #AirPollution like pandemics does not respect borders. If should be part of the #GHSA . #BreatheLife @QuintFit https://t.co/v6wGKBAs4m",RoopaDhatt,1057575500992921600,-0.1164,0.075,0.877,0.048,neg,neu
2018-10-31 10:03:42+00:00,"On the agenda at #AirPollution &amp; #CleanAir4Health @DrMariaNeira  1) Health sector leadership to cut #AirPollution 2) Communication, advocacy &amp; partnerships. My takeaway request: What should be our MESSAGE &amp; ASK to industry &amp; governments? @WHO @UNFCCC @WBG_Climate @CCACoalition",RoopaDhatt,1057573823606861824,-0.2732,0.054,0.946,0.0,neg,neu
2018-10-30 21:58:50+00:00,Totally shocking and unacceptable that 9 out of 10 children do no breathe safe air #children #heath #Airpollution https://t.co/udgkclGGVp,AlisonOWheeler,1057391402961854465,-0.8709,0.42,0.58,0.0,neg,neu
2018-10-29 03:28:14+00:00,"Me keeping silent ain't a problem for me, I prefer not adding to the noise, I need my hearing more. 

#SEA #AirPollution",PrairiesDawn,1056749524515987458,0.3089,0.0,0.903,0.097,pos,neu
2018-10-26 12:32:49+00:00,This is why we must vote! #Trump’s air pollution adviser say’s: “Clean air saves no lives” – as more than 124 million people in 201 U.S. counties live in places where the air is considered unhealthy - Reveal https://t.co/VDe0BIEpzc #AirPollution #BeAVoter #BREAKING @HipHopCaucus,EJinAction,1055799407529127937,-0.7088,0.126,0.874,0.0,neg,neu
