"Date","Source","Site ID","POC","Daily Max 1-hour NO2 Concentration","UNITS","DAILY_AQI_VALUE","Site Name","DAILY_OBS_COUNT","PERCENT_COMPLETE","AQS_PARAMETER_CODE","AQS_PARAMETER_DESC","CBSA_CODE","CBSA_NAME","STATE_CODE","STATE","COUNTY_CODE","COUNTY","SITE_LATITUDE","SITE_LONGITUDE"
"04/19/2012","AQS","340070002","1","32","ppb","30","Camden Spruce Street","24","100.0000","42602","Nitrogen dioxide (NO2)","37980","Philadelphia-Camden-Wilmington, PA-NJ-DE-MD","34","New Jersey","007","Camden","39.934559","-75.125219"
"04/20/2012","AQS","340070002","1","37","ppb","35","Camden Spruce Street","24","100.0000","42602","Nitrogen dioxide (NO2)","37980","Philadelphia-Camden-Wilmington, PA-NJ-DE-MD","34","New Jersey","007","Camden","39.934559","-75.125219"
"04/21/2012","AQS","340070002","1","15","ppb","14","Camden Spruce Street","24","100.0000","42602","Nitrogen dioxide (NO2)","37980","Philadelphia-Camden-Wilmington, PA-NJ-DE-MD","34","New Jersey","007","Camden","39.934559","-75.125219"
"04/22/2012","AQS","340070002","1","9","ppb","8","Camden Spruce Street","24","100.0000","42602","Nitrogen dioxide (NO2)","37980","Philadelphia-Camden-Wilmington, PA-NJ-DE-MD","34","New Jersey","007","Camden","39.934559","-75.125219"
"04/23/2012","AQS","340070002","1","16","ppb","15","Camden Spruce Street","24","100.0000","42602","Nitrogen dioxide (NO2)","37980","Philadelphia-Camden-Wilmington, PA-NJ-DE-MD","34","New Jersey","007","Camden","39.934559","-75.125219"
"04/24/2012","AQS","340070002","1","20","ppb","19","Camden Spruce Street","24","100.0000","42602","Nitrogen dioxide (NO2)","37980","Philadelphia-Camden-Wilmington, PA-NJ-DE-MD","34","New Jersey","007","Camden","39.934559","-75.125219"
"04/25/2012","AQS","340070002","1","51","ppb","48","Camden Spruce Street","22","92.0000","42602","Nitrogen dioxide (NO2)","37980","Philadelphia-Camden-Wilmington, PA-NJ-DE-MD","34","New Jersey","007","Camden","39.934559","-75.125219"
"04/26/2012","AQS","340070002","1","38","ppb","36","Camden Spruce Street","20","83.0000","42602","Nitrogen dioxide (NO2)","37980","Philadelphia-Camden-Wilmington, PA-NJ-DE-MD","34","New Jersey","007","Camden","39.934559","-75.125219"
"04/28/2012","AQS","340070002","1","16","ppb","15","Camden Spruce Street","21","88.0000","42602","Nitrogen dioxide (NO2)","37980","Philadelphia-Camden-Wilmington, PA-NJ-DE-MD","34","New Jersey","007","Camden","39.934559","-75.125219"
"04/29/2012","AQS","340070002","1","17","ppb","16","Camden Spruce Street","21","88.0000","42602","Nitrogen dioxide (NO2)","37980","Philadelphia-Camden-Wilmington, PA-NJ-DE-MD","34","New Jersey","007","Camden","39.934559","-75.125219"
