"Date","Source","Site ID","POC","Daily Mean PM10 Concentration","UNITS","DAILY_AQI_VALUE","Site Name","DAILY_OBS_COUNT","PERCENT_COMPLETE","AQS_PARAMETER_CODE","AQS_PARAMETER_DESC","CBSA_CODE","CBSA_NAME","STATE_CODE","STATE","COUNTY_CODE","COUNTY","SITE_LATITUDE","SITE_LONGITUDE"
"02/01/2010","AQS","340011006","1","21","ug/m3 SC","19","Atlantic City","1","100.0000","81102","PM10 Total 0-10um STP","12100","Atlantic City-Hammonton, NJ","34","New Jersey","001","Atlantic","39.36326","-74.431"
"02/07/2010","AQS","340011006","1","8","ug/m3 SC","7","Atlantic City","1","100.0000","81102","PM10 Total 0-10um STP","12100","Atlantic City-Hammonton, NJ","34","New Jersey","001","Atlantic","39.36326","-74.431"
"02/13/2010","AQS","340011006","1","13","ug/m3 SC","12","Atlantic City","1","100.0000","81102","PM10 Total 0-10um STP","12100","Atlantic City-Hammonton, NJ","34","New Jersey","001","Atlantic","39.36326","-74.431"
"02/19/2010","AQS","340011006","1","23","ug/m3 SC","21","Atlantic City","1","100.0000","81102","PM10 Total 0-10um STP","12100","Atlantic City-Hammonton, NJ","34","New Jersey","001","Atlantic","39.36326","-74.431"
"02/25/2010","AQS","340011006","1","13","ug/m3 SC","12","Atlantic City","1","100.0000","81102","PM10 Total 0-10um STP","12100","Atlantic City-Hammonton, NJ","34","New Jersey","001","Atlantic","39.36326","-74.431"
"03/03/2010","AQS","340011006","1","7","ug/m3 SC","6","Atlantic City","1","100.0000","81102","PM10 Total 0-10um STP","12100","Atlantic City-Hammonton, NJ","34","New Jersey","001","Atlantic","39.36326","-74.431"
"03/09/2010","AQS","340011006","1","23","ug/m3 SC","21","Atlantic City","1","100.0000","81102","PM10 Total 0-10um STP","12100","Atlantic City-Hammonton, NJ","34","New Jersey","001","Atlantic","39.36326","-74.431"
"01/02/2010","AQS","340070009","1","15","ug/m3 SC","14","Camden RRF","1","100.0000","81102","PM10 Total 0-10um STP","37980","Philadelphia-Camden-Wilmington, PA-NJ-DE-MD","34","New Jersey","007","Camden","39.912431","-75.116864"
"01/08/2010","AQS","340070009","1","33","ug/m3 SC","31","Camden RRF","1","100.0000","81102","PM10 Total 0-10um STP","37980","Philadelphia-Camden-Wilmington, PA-NJ-DE-MD","34","New Jersey","007","Camden","39.912431","-75.116864"
"01/14/2010","AQS","340070009","1","47","ug/m3 SC","44","Camden RRF","1","100.0000","81102","PM10 Total 0-10um STP","37980","Philadelphia-Camden-Wilmington, PA-NJ-DE-MD","34","New Jersey","007","Camden","39.912431","-75.116864"
