"Date","Source","Site ID","POC","Daily Mean PM2.5 Concentration","UNITS","DAILY_AQI_VALUE","Site Name","DAILY_OBS_COUNT","PERCENT_COMPLETE","AQS_PARAMETER_CODE","AQS_PARAMETER_DESC","CBSA_CODE","CBSA_NAME","STATE_CODE","STATE","COUNTY_CODE","COUNTY","SITE_LATITUDE","SITE_LONGITUDE"
"01/03/2007","AQS","340010006","1","5.3","ug/m3 LC","22","Brigantine","1","100.0000","88502","Acceptable PM2.5 AQI & Speciation Mass","12100","Atlantic City-Hammonton, NJ","34","New Jersey","001","Atlantic","39.464872","-74.448736"
"01/06/2007","AQS","340010006","1","4","ug/m3 LC","17","Brigantine","1","100.0000","88101","PM2.5 - Local Conditions","12100","Atlantic City-Hammonton, NJ","34","New Jersey","001","Atlantic","39.464872","-74.448736"
"01/09/2007","AQS","340010006","1","3.2","ug/m3 LC","13","Brigantine","1","100.0000","88502","Acceptable PM2.5 AQI & Speciation Mass","12100","Atlantic City-Hammonton, NJ","34","New Jersey","001","Atlantic","39.464872","-74.448736"
"01/12/2007","AQS","340010006","1","8.4","ug/m3 LC","35","Brigantine","1","100.0000","88101","PM2.5 - Local Conditions","12100","Atlantic City-Hammonton, NJ","34","New Jersey","001","Atlantic","39.464872","-74.448736"
"01/15/2007","AQS","340010006","1","10.3","ug/m3 LC","43","Brigantine","1","100.0000","88101","PM2.5 - Local Conditions","12100","Atlantic City-Hammonton, NJ","34","New Jersey","001","Atlantic","39.464872","-74.448736"
"01/18/2007","AQS","340010006","1","6.8","ug/m3 LC","28","Brigantine","1","100.0000","88101","PM2.5 - Local Conditions","12100","Atlantic City-Hammonton, NJ","34","New Jersey","001","Atlantic","39.464872","-74.448736"
"01/21/2007","AQS","340010006","1","4.5","ug/m3 LC","19","Brigantine","1","100.0000","88101","PM2.5 - Local Conditions","12100","Atlantic City-Hammonton, NJ","34","New Jersey","001","Atlantic","39.464872","-74.448736"
"01/24/2007","AQS","340010006","1","16.9","ug/m3 LC","61","Brigantine","1","100.0000","88101","PM2.5 - Local Conditions","12100","Atlantic City-Hammonton, NJ","34","New Jersey","001","Atlantic","39.464872","-74.448736"
"01/27/2007","AQS","340010006","1","7.8","ug/m3 LC","33","Brigantine","1","100.0000","88101","PM2.5 - Local Conditions","12100","Atlantic City-Hammonton, NJ","34","New Jersey","001","Atlantic","39.464872","-74.448736"
"01/30/2007","AQS","340010006","1","9.6","ug/m3 LC","40","Brigantine","1","100.0000","88101","PM2.5 - Local Conditions","12100","Atlantic City-Hammonton, NJ","34","New Jersey","001","Atlantic","39.464872","-74.448736"
"02/02/2007","AQS","340010006","1","15.4","ug/m3 LC","58","Brigantine","1","100.0000","88502","Acceptable PM2.5 AQI & Speciation Mass","12100","Atlantic City-Hammonton, NJ","34","New Jersey","001","Atlantic","39.464872","-74.448736"
"02/05/2007","AQS","340010006","1","18.1","ug/m3 LC","64","Brigantine","1","100.0000","88101","PM2.5 - Local Conditions","12100","Atlantic City-Hammonton, NJ","34","New Jersey","001","Atlantic","39.464872","-74.448736"
"02/08/2007","AQS","340010006","1","11","ug/m3 LC","46","Brigantine","1","100.0000","88101","PM2.5 - Local Conditions","12100","Atlantic City-Hammonton, NJ","34","New Jersey","001","Atlantic","39.464872","-74.448736"
"02/11/2007","AQS","340010006","1","15.7","ug/m3 LC","59","Brigantine","1","100.0000","88101","PM2.5 - Local Conditions","12100","Atlantic City-Hammonton, NJ","34","New Jersey","001","Atlantic","39.464872","-74.448736"
"02/14/2007","AQS","340010006","1","3.6","ug/m3 LC","15","Brigantine","1","100.0000","88502","Acceptable PM2.5 AQI & Speciation Mass","12100","Atlantic City-Hammonton, NJ","34","New Jersey","001","Atlantic","39.464872","-74.448736"
"02/17/2007","AQS","340010006","1","10.4","ug/m3 LC","43","Brigantine","1","100.0000","88101","PM2.5 - Local Conditions","12100","Atlantic City-Hammonton, NJ","34","New Jersey","001","Atlantic","39.464872","-74.448736"
"02/20/2007","AQS","340010006","1","12.3","ug/m3 LC","51","Brigantine","1","100.0000","88502","Acceptable PM2.5 AQI & Speciation Mass","12100","Atlantic City-Hammonton, NJ","34","New Jersey","001","Atlantic","39.464872","-74.448736"
"02/23/2007","AQS","340010006","1","3","ug/m3 LC","13","Brigantine","1","100.0000","88502","Acceptable PM2.5 AQI & Speciation Mass","12100","Atlantic City-Hammonton, NJ","34","New Jersey","001","Atlantic","39.464872","-74.448736"
"02/26/2007","AQS","340010006","1","6.8","ug/m3 LC","28","Brigantine","1","100.0000","88502","Acceptable PM2.5 AQI & Speciation Mass","12100","Atlantic City-Hammonton, NJ","34","New Jersey","001","Atlantic","39.464872","-74.448736"
"03/01/2007","AQS","340010006","1","12.5","ug/m3 LC","52","Brigantine","1","100.0000","88502","Acceptable PM2.5 AQI & Speciation Mass","12100","Atlantic City-Hammonton, NJ","34","New Jersey","001","Atlantic","39.464872","-74.448736"
"03/04/2007","AQS","340010006","1","5.3","ug/m3 LC","22","Brigantine","1","100.0000","88101","PM2.5 - Local Conditions","12100","Atlantic City-Hammonton, NJ","34","New Jersey","001","Atlantic","39.464872","-74.448736"
"03/07/2007","AQS","340010006","1","4.4","ug/m3 LC","18","Brigantine","1","100.0000","88502","Acceptable PM2.5 AQI & Speciation Mass","12100","Atlantic City-Hammonton, NJ","34","New Jersey","001","Atlantic","39.464872","-74.448736"
"03/10/2007","AQS","340010006","1","5.8","ug/m3 LC","24","Brigantine","1","100.0000","88502","Acceptable PM2.5 AQI & Speciation Mass","12100","Atlantic City-Hammonton, NJ","34","New Jersey","001","Atlantic","39.464872","-74.448736"
"03/13/2007","AQS","340010006","1","10.5","ug/m3 LC","44","Brigantine","1","100.0000","88502","Acceptable PM2.5 AQI & Speciation Mass","12100","Atlantic City-Hammonton, NJ","34","New Jersey","001","Atlantic","39.464872","-74.448736"
"03/16/2007","AQS","340010006","1","3.1","ug/m3 LC","13","Brigantine","1","100.0000","88502","Acceptable PM2.5 AQI & Speciation Mass","12100","Atlantic City-Hammonton, NJ","34","New Jersey","001","Atlantic","39.464872","-74.448736"
"03/19/2007","AQS","340010006","1","6.3","ug/m3 LC","26","Brigantine","1","100.0000","88502","Acceptable PM2.5 AQI & Speciation Mass","12100","Atlantic City-Hammonton, NJ","34","New Jersey","001","Atlantic","39.464872","-74.448736"
"03/22/2007","AQS","340010006","1","11.2","ug/m3 LC","47","Brigantine","1","100.0000","88502","Acceptable PM2.5 AQI & Speciation Mass","12100","Atlantic City-Hammonton, NJ","34","New Jersey","001","Atlantic","39.464872","-74.448736"
"03/25/2007","AQS","340010006","1","13.9","ug/m3 LC","55","Brigantine","1","100.0000","88101","PM2.5 - Local Conditions","12100","Atlantic City-Hammonton, NJ","34","New Jersey","001","Atlantic","39.464872","-74.448736"
"03/28/2007","AQS","340010006","1","5.8","ug/m3 LC","24","Brigantine","1","100.0000","88502","Acceptable PM2.5 AQI & Speciation Mass","12100","Atlantic City-Hammonton, NJ","34","New Jersey","001","Atlantic","39.464872","-74.448736"
