"Date","Source","Site ID","POC","Daily Mean Pb Concentration","UNITS","DAILY_AQI_VALUE","Site Name","DAILY_OBS_COUNT","PERCENT_COMPLETE","AQS_PARAMETER_CODE","AQS_PARAMETER_DESC","CBSA_CODE","CBSA_NAME","STATE_CODE","STATE","COUNTY_CODE","COUNTY","SITE_LATITUDE","SITE_LONGITUDE"
"01/01/2008","AQS","340231003","1","0.007","ug/m3 SC",".","NEW BRUNSWICK-DELCO REMY","1","100.0000","12128","Lead (TSP) STP","35620","New York-Newark-Jersey City, NY-NJ-PA","34","New Jersey","023","Middlesex","40.472327","-74.470986"
"01/07/2008","AQS","340231003","1","0.007","ug/m3 SC",".","NEW BRUNSWICK-DELCO REMY","1","100.0000","12128","Lead (TSP) STP","35620","New York-Newark-Jersey City, NY-NJ-PA","34","New Jersey","023","Middlesex","40.472327","-74.470986"
"01/13/2008","AQS","340231003","1","0.007","ug/m3 SC",".","NEW BRUNSWICK-DELCO REMY","1","100.0000","12128","Lead (TSP) STP","35620","New York-Newark-Jersey City, NY-NJ-PA","34","New Jersey","023","Middlesex","40.472327","-74.470986"
"01/19/2008","AQS","340231003","1","0.007","ug/m3 SC",".","NEW BRUNSWICK-DELCO REMY","1","100.0000","12128","Lead (TSP) STP","35620","New York-Newark-Jersey City, NY-NJ-PA","34","New Jersey","023","Middlesex","40.472327","-74.470986"
"01/25/2008","AQS","340231003","1","0.007","ug/m3 SC",".","NEW BRUNSWICK-DELCO REMY","1","100.0000","12128","Lead (TSP) STP","35620","New York-Newark-Jersey City, NY-NJ-PA","34","New Jersey","023","Middlesex","40.472327","-74.470986"
"01/31/2008","AQS","340231003","1","0.007","ug/m3 SC",".","NEW BRUNSWICK-DELCO REMY","1","100.0000","12128","Lead (TSP) STP","35620","New York-Newark-Jersey City, NY-NJ-PA","34","New Jersey","023","Middlesex","40.472327","-74.470986"
"02/06/2008","AQS","340231003","1","0.007","ug/m3 SC",".","NEW BRUNSWICK-DELCO REMY","1","100.0000","12128","Lead (TSP) STP","35620","New York-Newark-Jersey City, NY-NJ-PA","34","New Jersey","023","Middlesex","40.472327","-74.470986"
"02/12/2008","AQS","340231003","1","0.007","ug/m3 SC",".","NEW BRUNSWICK-DELCO REMY","1","100.0000","12128","Lead (TSP) STP","35620","New York-Newark-Jersey City, NY-NJ-PA","34","New Jersey","023","Middlesex","40.472327","-74.470986"
"02/18/2008","AQS","340231003","1","0.007","ug/m3 SC",".","NEW BRUNSWICK-DELCO REMY","1","100.0000","12128","Lead (TSP) STP","35620","New York-Newark-Jersey City, NY-NJ-PA","34","New Jersey","023","Middlesex","40.472327","-74.470986"
"02/24/2008","AQS","340231003","1","0.007","ug/m3 SC",".","NEW BRUNSWICK-DELCO REMY","1","100.0000","12128","Lead (TSP) STP","35620","New York-Newark-Jersey City, NY-NJ-PA","34","New Jersey","023","Middlesex","40.472327","-74.470986"
"03/01/2008","AQS","340231003","1","0.007","ug/m3 SC",".","NEW BRUNSWICK-DELCO REMY","1","100.0000","12128","Lead (TSP) STP","35620","New York-Newark-Jersey City, NY-NJ-PA","34","New Jersey","023","Middlesex","40.472327","-74.470986"
