"Date","Source","Site ID","POC","Daily Max 1-hour SO2 Concentration","UNITS","DAILY_AQI_VALUE","Site Name","DAILY_OBS_COUNT","PERCENT_COMPLETE","AQS_PARAMETER_CODE","AQS_PARAMETER_DESC","CBSA_CODE","CBSA_NAME","STATE_CODE","STATE","COUNTY_CODE","COUNTY","SITE_LATITUDE","SITE_LONGITUDE"
"01/01/2010","AQS","340010006","1","2.3","ppb","3","Brigantine","23","96.0000","42401","Sulfur dioxide","12100","Atlantic City-Hammonton, NJ","34","New Jersey","001","Atlantic","39.464872","-74.448736"
"01/02/2010","AQS","340010006","1","2.5","ppb","3","Brigantine","24","100.0000","42401","Sulfur dioxide","12100","Atlantic City-Hammonton, NJ","34","New Jersey","001","Atlantic","39.464872","-74.448736"
"01/03/2010","AQS","340010006","1","1.7","ppb","1","Brigantine","24","100.0000","42401","Sulfur dioxide","12100","Atlantic City-Hammonton, NJ","34","New Jersey","001","Atlantic","39.464872","-74.448736"
"01/04/2010","AQS","340010006","1","4","ppb","6","Brigantine","24","100.0000","42401","Sulfur dioxide","12100","Atlantic City-Hammonton, NJ","34","New Jersey","001","Atlantic","39.464872","-74.448736"
"01/05/2010","AQS","340010006","1","4.5","ppb","6","Brigantine","24","100.0000","42401","Sulfur dioxide","12100","Atlantic City-Hammonton, NJ","34","New Jersey","001","Atlantic","39.464872","-74.448736"
"01/06/2010","AQS","340010006","1","2.3","ppb","3","Brigantine","24","100.0000","42401","Sulfur dioxide","12100","Atlantic City-Hammonton, NJ","34","New Jersey","001","Atlantic","39.464872","-74.448736"
"01/07/2010","AQS","340010006","1","3","ppb","4","Brigantine","24","100.0000","42401","Sulfur dioxide","12100","Atlantic City-Hammonton, NJ","34","New Jersey","001","Atlantic","39.464872","-74.448736"
"01/08/2010","AQS","340010006","1","8.9","ppb","11","Brigantine","24","100.0000","42401","Sulfur dioxide","12100","Atlantic City-Hammonton, NJ","34","New Jersey","001","Atlantic","39.464872","-74.448736"
"01/09/2010","AQS","340010006","1","1.3","ppb","1","Brigantine","24","100.0000","42401","Sulfur dioxide","12100","Atlantic City-Hammonton, NJ","34","New Jersey","001","Atlantic","39.464872","-74.448736"
"01/10/2010","AQS","340010006","1","3.9","ppb","4","Brigantine","24","100.0000","42401","Sulfur dioxide","12100","Atlantic City-Hammonton, NJ","34","New Jersey","001","Atlantic","39.464872","-74.448736"
"01/11/2010","AQS","340010006","1","10.1","ppb","14","Brigantine","24","100.0000","42401","Sulfur dioxide","12100","Atlantic City-Hammonton, NJ","34","New Jersey","001","Atlantic","39.464872","-74.448736"
"01/12/2010","AQS","340010006","1","9.8","ppb","13","Brigantine","24","100.0000","42401","Sulfur dioxide","12100","Atlantic City-Hammonton, NJ","34","New Jersey","001","Atlantic","39.464872","-74.448736"
"01/13/2010","AQS","340010006","1","6.2","ppb","9","Brigantine","24","100.0000","42401","Sulfur dioxide","12100","Atlantic City-Hammonton, NJ","34","New Jersey","001","Atlantic","39.464872","-74.448736"
"01/14/2010","AQS","340010006","1","15.6","ppb","21","Brigantine","24","100.0000","42401","Sulfur dioxide","12100","Atlantic City-Hammonton, NJ","34","New Jersey","001","Atlantic","39.464872","-74.448736"
"01/15/2010","AQS","340010006","1","5.4","ppb","7","Brigantine","24","100.0000","42401","Sulfur dioxide","12100","Atlantic City-Hammonton, NJ","34","New Jersey","001","Atlantic","39.464872","-74.448736"
"01/16/2010","AQS","340010006","1","6.3","ppb","9","Brigantine","24","100.0000","42401","Sulfur dioxide","12100","Atlantic City-Hammonton, NJ","34","New Jersey","001","Atlantic","39.464872","-74.448736"
"01/17/2010","AQS","340010006","1","2.1","ppb","3","Brigantine","24","100.0000","42401","Sulfur dioxide","12100","Atlantic City-Hammonton, NJ","34","New Jersey","001","Atlantic","39.464872","-74.448736"
"01/18/2010","AQS","340010006","1","2.2","ppb","3","Brigantine","24","100.0000","42401","Sulfur dioxide","12100","Atlantic City-Hammonton, NJ","34","New Jersey","001","Atlantic","39.464872","-74.448736"
"01/19/2010","AQS","340010006","1","2.7","ppb","3","Brigantine","24","100.0000","42401","Sulfur dioxide","12100","Atlantic City-Hammonton, NJ","34","New Jersey","001","Atlantic","39.464872","-74.448736"
"01/20/2010","AQS","340010006","1","3.8","ppb","4","Brigantine","24","100.0000","42401","Sulfur dioxide","12100","Atlantic City-Hammonton, NJ","34","New Jersey","001","Atlantic","39.464872","-74.448736"
"01/21/2010","AQS","340010006","1","1.3","ppb","1","Brigantine","24","100.0000","42401","Sulfur dioxide","12100","Atlantic City-Hammonton, NJ","34","New Jersey","001","Atlantic","39.464872","-74.448736"
"01/22/2010","AQS","340010006","1","1.3","ppb","1","Brigantine","24","100.0000","42401","Sulfur dioxide","12100","Atlantic City-Hammonton, NJ","34","New Jersey","001","Atlantic","39.464872","-74.448736"
"01/23/2010","AQS","340010006","1","1.9","ppb","1","Brigantine","24","100.0000","42401","Sulfur dioxide","12100","Atlantic City-Hammonton, NJ","34","New Jersey","001","Atlantic","39.464872","-74.448736"
"01/24/2010","AQS","340010006","1","0.1","ppb","0","Brigantine","24","100.0000","42401","Sulfur dioxide","12100","Atlantic City-Hammonton, NJ","34","New Jersey","001","Atlantic","39.464872","-74.448736"
"01/25/2010","AQS","340010006","1","0.5","ppb","0","Brigantine","24","100.0000","42401","Sulfur dioxide","12100","Atlantic City-Hammonton, NJ","34","New Jersey","001","Atlantic","39.464872","-74.448736"
"01/26/2010","AQS","340010006","1","1.3","ppb","1","Brigantine","22","92.0000","42401","Sulfur dioxide","12100","Atlantic City-Hammonton, NJ","34","New Jersey","001","Atlantic","39.464872","-74.448736"
"01/27/2010","AQS","340010006","1","4.3","ppb","6","Brigantine","24","100.0000","42401","Sulfur dioxide","12100","Atlantic City-Hammonton, NJ","34","New Jersey","001","Atlantic","39.464872","-74.448736"
"01/28/2010","AQS","340010006","1","2.3","ppb","3","Brigantine","24","100.0000","42401","Sulfur dioxide","12100","Atlantic City-Hammonton, NJ","34","New Jersey","001","Atlantic","39.464872","-74.448736"
"01/29/2010","AQS","340010006","1","2.2","ppb","3","Brigantine","24","100.0000","42401","Sulfur dioxide","12100","Atlantic City-Hammonton, NJ","34","New Jersey","001","Atlantic","39.464872","-74.448736"
"01/30/2010","AQS","340010006","1","3.2","ppb","4","Brigantine","24","100.0000","42401","Sulfur dioxide","12100","Atlantic City-Hammonton, NJ","34","New Jersey","001","Atlantic","39.464872","-74.448736"
"01/31/2010","AQS","340010006","1","5.7","ppb","7","Brigantine","24","100.0000","42401","Sulfur dioxide","12100","Atlantic City-Hammonton, NJ","34","New Jersey","001","Atlantic","39.464872","-74.448736"
"02/01/2010","AQS","340010006","1","6.3","ppb","9","Brigantine","24","100.0000","42401","Sulfur dioxide","12100","Atlantic City-Hammonton, NJ","34","New Jersey","001","Atlantic","39.464872","-74.448736"
"02/02/2010","AQS","340010006","1","5.7","ppb","7","Brigantine","24","100.0000","42401","Sulfur dioxide","12100","Atlantic City-Hammonton, NJ","34","New Jersey","001","Atlantic","39.464872","-74.448736"
"02/03/2010","AQS","340010006","1","9.7","ppb","13","Brigantine","24","100.0000","42401","Sulfur dioxide","12100","Atlantic City-Hammonton, NJ","34","New Jersey","001","Atlantic","39.464872","-74.448736"
"02/04/2010","AQS","340010006","1","4.5","ppb","6","Brigantine","24","100.0000","42401","Sulfur dioxide","12100","Atlantic City-Hammonton, NJ","34","New Jersey","001","Atlantic","39.464872","-74.448736"
"02/05/2010","AQS","340010006","1","3.3","ppb","4","Brigantine","22","92.0000","42401","Sulfur dioxide","12100","Atlantic City-Hammonton, NJ","34","New Jersey","001","Atlantic","39.464872","-74.448736"
"02/06/2010","AQS","340010006","1","1.4","ppb","1","Brigantine","24","100.0000","42401","Sulfur dioxide","12100","Atlantic City-Hammonton, NJ","34","New Jersey","001","Atlantic","39.464872","-74.448736"
"02/07/2010","AQS","340010006","1","3.8","ppb","4","Brigantine","24","100.0000","42401","Sulfur dioxide","12100","Atlantic City-Hammonton, NJ","34","New Jersey","001","Atlantic","39.464872","-74.448736"
"02/08/2010","AQS","340010006","1","3.9","ppb","4","Brigantine","24","100.0000","42401","Sulfur dioxide","12100","Atlantic City-Hammonton, NJ","34","New Jersey","001","Atlantic","39.464872","-74.448736"
"02/09/2010","AQS","340010006","1","4.1","ppb","6","Brigantine","24","100.0000","42401","Sulfur dioxide","12100","Atlantic City-Hammonton, NJ","34","New Jersey","001","Atlantic","39.464872","-74.448736"
"02/10/2010","AQS","340010006","1","1.1","ppb","1","Brigantine","24","100.0000","42401","Sulfur dioxide","12100","Atlantic City-Hammonton, NJ","34","New Jersey","001","Atlantic","39.464872","-74.448736"
"02/11/2010","AQS","340010006","1","3","ppb","4","Brigantine","24","100.0000","42401","Sulfur dioxide","12100","Atlantic City-Hammonton, NJ","34","New Jersey","001","Atlantic","39.464872","-74.448736"
"02/12/2010","AQS","340010006","1","3.1","ppb","4","Brigantine","24","100.0000","42401","Sulfur dioxide","12100","Atlantic City-Hammonton, NJ","34","New Jersey","001","Atlantic","39.464872","-74.448736"
"02/13/2010","AQS","340010006","1","6","ppb","9","Brigantine","24","100.0000","42401","Sulfur dioxide","12100","Atlantic City-Hammonton, NJ","34","New Jersey","001","Atlantic","39.464872","-74.448736"
"02/14/2010","AQS","340010006","1","5.4","ppb","7","Brigantine","24","100.0000","42401","Sulfur dioxide","12100","Atlantic City-Hammonton, NJ","34","New Jersey","001","Atlantic","39.464872","-74.448736"
"02/15/2010","AQS","340010006","1","7.4","ppb","10","Brigantine","24","100.0000","42401","Sulfur dioxide","12100","Atlantic City-Hammonton, NJ","34","New Jersey","001","Atlantic","39.464872","-74.448736"
"02/16/2010","AQS","340010006","1","7","ppb","10","Brigantine","22","92.0000","42401","Sulfur dioxide","12100","Atlantic City-Hammonton, NJ","34","New Jersey","001","Atlantic","39.464872","-74.448736"
"02/17/2010","AQS","340010006","1","7.4","ppb","10","Brigantine","22","92.0000","42401","Sulfur dioxide","12100","Atlantic City-Hammonton, NJ","34","New Jersey","001","Atlantic","39.464872","-74.448736"
"02/18/2010","AQS","340010006","1","8.1","ppb","11","Brigantine","24","100.0000","42401","Sulfur dioxide","12100","Atlantic City-Hammonton, NJ","34","New Jersey","001","Atlantic","39.464872","-74.448736"
"02/19/2010","AQS","340010006","1","5.6","ppb","7","Brigantine","24","100.0000","42401","Sulfur dioxide","12100","Atlantic City-Hammonton, NJ","34","New Jersey","001","Atlantic","39.464872","-74.448736"
